metric,mean,std,min,max,median,q25,q75,cv_percent,ci_95_lower,ci_95_upper,n
Test Macro F1,0.27447143969982923,0.008695111645896772,0.24971728990098926,0.29242660286889627,0.27548457449822655,0.2697825861968216,0.27774354052672245,3.1679476944508416,0.2711691266385315,0.277773752761127,30
Test Accuracy,31.754827875734673,0.8303772223129238,30.025188916876573,33.09823677581864,31.8639798488665,31.120906801007557,32.40554156171285,2.6149637011493714,31.43945923428173,32.07019651718762,30
Test Macro Precision,0.2935890007527902,0.012729922583653717,0.267511099859067,0.3268966050874141,0.295916733409587,0.28549833620650156,0.3004216551944483,4.3359671346722735,0.28875430841883415,0.29842369308674627,30
Test Macro Recall,0.31555142366718003,0.008165607588931811,0.29674146013798736,0.330474045153928,0.3154872178301684,0.3091129148309064,0.321888900427971,2.587726429510355,0.3124502107451945,0.31865263658916554,30
Best Val Macro F1,0.2732358140437372,0.009102903759568876,0.25444930995091375,0.2891651570077146,0.2739033267312593,0.2675508426604024,0.28016760034572613,3.3315192561513043,0.26977862577460826,0.27669300231286614,30
Best Val Accuracy,31.664986559139784,0.926531699344631,29.889112903225808,33.618951612903224,31.804435483870968,31.123991935483872,32.321068548387096,2.9260448211913004,31.313099446350833,32.016873671928735,30
Best Val Macro Precision,0.29093390341956676,0.0133079422649861,0.26316694005786234,0.31431284473005494,0.2901510432716403,0.2784603252520789,0.2986331673167454,4.57421500504677,0.2858796852162388,0.29598812162289473,30
Best Val Macro Recall,0.3152986169585362,0.00898752585113319,0.2976950659257999,0.3323627778720023,0.31637318916017865,0.3097583005692668,0.321686737641373,2.850480581814638,0.3118852480202599,0.31871198589681254,30
