Metric,Mean ± Std,95% CI,Min,Max,CV %
Test Macro F1,0.2745 ± 0.0087,"[0.2712, 0.2778]",0.2497,0.2924,3.17%
Test Accuracy,31.7548 ± 0.8304,"[31.4395, 32.0702]",30.0252,33.0982,2.61%
Test Macro Precision,0.2936 ± 0.0127,"[0.2888, 0.2984]",0.2675,0.3269,4.34%
Test Macro Recall,0.3156 ± 0.0082,"[0.3125, 0.3187]",0.2967,0.3305,2.59%
Best Val Macro F1,0.2732 ± 0.0091,"[0.2698, 0.2767]",0.2544,0.2892,3.33%
Best Val Accuracy,31.6650 ± 0.9265,"[31.3131, 32.0169]",29.8891,33.6190,2.93%
Best Val Macro Precision,0.2909 ± 0.0133,"[0.2859, 0.2960]",0.2632,0.3143,4.57%
Best Val Macro Recall,0.3153 ± 0.0090,"[0.3119, 0.3187]",0.2977,0.3324,2.85%
