class,acc,precision,recall,f1
conservative,0.6277372262773723,0.7107438016528925,0.6277372262773723,0.6666666666666666
dressy,0.7910447761194029,0.9906542056074766,0.7910447761194029,0.8796680497925311
ethnic,0.875968992248062,0.7337662337662337,0.875968992248062,0.7985865724381626
fairy,0.9305555555555556,0.9852941176470589,0.9305555555555556,0.9571428571428572
feminine,0.6528925619834711,0.7745098039215687,0.6528925619834711,0.7085201793721974
gal,0.7692307692307693,0.7051282051282052,0.7692307692307693,0.7357859531772575
girlish,0.6144578313253012,0.6071428571428571,0.6144578313253012,0.6107784431137725
kireime-casual,0.7215189873417721,0.5876288659793815,0.7215189873417721,0.6477272727272727
lolita,0.9875,0.9518072289156626,0.9875,0.9693251533742331
mode,0.7295597484276729,0.8111888111888111,0.7295597484276729,0.7682119205298014
natural,0.8527131782945736,0.7006369426751592,0.8527131782945736,0.7692307692307693
retro,0.6771653543307087,0.7747747747747747,0.6771653543307087,0.7226890756302521
rock,0.7786885245901639,0.7480314960629921,0.7786885245901639,0.7630522088353414
street,0.7320261437908496,0.8,0.7320261437908496,0.764505119453925
