seed,source_file,test_macro_f1,test_accuracy,test_loss,best_val_macro_f1,best_val_accuracy,best_val_loss,final_val_macro_f1,final_val_accuracy,final_val_loss,train_val_gap,overfitting_detected,total_epochs,best_epoch,early_stopped,training_time_min,train_size,val_size,test_size
13,/content/drive/MyDrive/data255_revision_1/model/concat/result/real_30seeds_batch1/experiments/seed_13_results.json,0.7771671866342202,0.7787878787878788,0.6257261379111198,0.7956163292876298,0.7967644084934277,0.5914194920370656,0.7952120686976405,0.7962588473205258,0.5914194920370656,0.1408026180990919,False,20,19,False,88.93391273419063,9261,1984,1985
14,/content/drive/MyDrive/data255_revision_1/model/concat/result/real_30seeds_batch1/experiments/seed_14_results.json,0.793050179492046,0.7941325240263025,0.6047124045510446,0.7958863722203275,0.7970647773279352,0.5759853807187849,0.7958863722203275,0.7970647773279352,0.5759853807187849,0.1432333545388621,False,20,20,False,17.60673991441727,9261,1984,1985
16,/content/drive/MyDrive/data255_revision_1/model/concat/result/real_30seeds_batch1/experiments/seed_16_results.json,0.7826750811353566,0.7833333333333333,0.6032561131062046,0.7740488404815801,0.7747336377473364,0.6386261625636008,0.7734893124421216,0.7742262810755961,0.6386261625636008,0.08591793132574777,False,20,19,False,17.275177816549938,9261,1984,1985
17,/content/drive/MyDrive/data255_revision_1/model/concat/result/real_30seeds_batch1/experiments/seed_17_results.json,0.7805290044025384,0.7813765182186235,0.602002760094981,0.7868087176225674,0.7879554655870445,0.604741866550138,0.7842508423541172,0.7854251012145749,0.6048952667943893,0.13364339840173955,False,20,18,False,17.197941287358603,9261,1984,1985
45,/content/drive/MyDrive/data255_revision_1/model/concat/result/real_30seeds_batch1/experiments/seed_45_results.json,0.7905763653956527,0.7905918057663126,0.6075197804358697,0.7863865483401119,0.7869433198380567,0.6002515597689536,0.7863865483401119,0.7869433198380567,0.6004092839937056,0.14141147143374544,False,20,20,False,16.811209575335184,9261,1984,1985
48,/content/drive/MyDrive/data255_revision_1/model/concat/result/real_30seeds_batch1/experiments/seed_48_results.json,0.7780885192500921,0.7787878787878788,0.6225659183917507,0.7978318609901763,0.797877716018191,0.6046419547450158,0.7977961932810681,0.797877716018191,0.6046419547450158,0.14326144445020983,False,20,19,False,17.280568691094718,9261,1984,1985
53,/content/drive/MyDrive/data255_revision_1/model/concat/result/real_30seeds_batch1/experiments/seed_53_results.json,0.7708132585173336,0.7724974721941354,0.6340935287937042,0.7837495329913194,0.784919028340081,0.6151426927216591,0.781098390754836,0.7828947368421053,0.6151426927216591,0.14665303605833502,False,19,14,True,16.359608217080435,9261,1984,1985
58,/content/drive/MyDrive/data255_revision_1/model/concat/result/real_30seeds_batch1/experiments/seed_58_results.json,0.7903186772908705,0.791497975708502,0.5759262226281627,0.7697514678154704,0.7700101317122594,0.6503436397160253,0.7691224645643706,0.7695035460992907,0.6503597065325706,0.08169789639570735,False,20,19,False,17.26755144993464,9261,1984,1985
72,/content/drive/MyDrive/data255_revision_1/model/concat/result/real_30seeds_batch1/experiments/seed_72_results.json,0.7779276984030586,0.7800808897876643,0.6196859118438536,0.7779284265889256,0.7771601819100555,0.6193751961954178,0.7760559444838782,0.7751389590702374,0.6193751961954178,0.1260393807392779,False,20,15,True,17.09380344549815,9261,1984,1985
102,/content/drive/MyDrive/data255_revision_1/model/concat/result/real_30seeds_batch1/experiments/seed_102_results.json,0.7753794928145873,0.7772727272727272,0.6179966186323473,0.7806865165585941,0.7828282828282829,0.6024741434281872,0.7769713814463745,0.7787878787878788,0.6024741434281872,0.14345991892239285,False,20,18,False,17.293014081319175,9261,1984,1985
112,/content/drive/MyDrive/data255_revision_1/model/concat/result/real_30seeds_batch2/experiments/seed_112_results.json,0.7780102208607833,0.778899545683998,0.6047062801737939,0.7824287410112964,0.7825646224024329,0.625002027038605,0.7804037314005849,0.7805372529143436,0.625002027038605,0.12681622853109065,False,20,18,False,91.3351208170255,9261,1984,1985
