seed,source_file,test_macro_f1,test_accuracy,test_loss,best_val_macro_f1,best_val_accuracy,best_val_loss,final_val_macro_f1,final_val_accuracy,final_val_loss,train_val_gap,overfitting_detected,total_epochs,best_epoch,early_stopped,training_time_min,train_size,val_size,test_size
13,/content/drive/MyDrive/data255_revision_1/model/gated/result/real_30seeds_batch1/experiments/seed_13_results.json,0.7797698700768485,0.7828282828282829,0.7165942764089953,0.7952280130449606,0.7967644084934277,0.6740072321507239,0.7952251185745192,0.7967644084934277,0.6740072321507239,0.22874262038119764,False,20,17,False,95.45872234106064,9261,1984,1985
14,/content/drive/MyDrive/data255_revision_1/model/gated/result/real_30seeds_batch1/experiments/seed_14_results.json,0.7797417587006912,0.7824987354577643,0.7099007372894595,0.7844140800304091,0.7864372469635628,0.6789219547663966,0.7843884641605704,0.7864372469635628,0.6789219547663966,0.22112994054350044,False,20,16,False,17.447568774223328,9261,1984,1985
16,/content/drive/MyDrive/data255_revision_1/model/gated/result/real_30seeds_batch1/experiments/seed_16_results.json,0.7681057933515348,0.7707070707070707,0.694696050978476,0.7674402411561722,0.7711821410451547,0.7311881948863307,0.7652143336022468,0.7691527143581938,0.7311881948863307,0.1487300135947881,False,20,18,False,17.593607318401336,9261,1984,1985
17,/content/drive/MyDrive/data255_revision_1/model/gated/result/real_30seeds_batch1/experiments/seed_17_results.json,0.7821662127774663,0.7839068825910931,0.6845910227106463,0.7757501054646104,0.7788461538461539,0.7081815547520115,0.7748696212539318,0.777834008097166,0.7081815547520115,0.16790124879928947,False,20,18,False,17.598716926574706,9261,1984,1985
45,/content/drive/MyDrive/data255_revision_1/model/gated/result/real_30seeds_batch1/experiments/seed_45_results.json,0.7803671569479355,0.7835103692463329,0.716994940753906,0.7852675470357765,0.7874493927125507,0.6957071317780402,0.7852453393596116,0.7874493927125507,0.6957071317780402,0.2191721612966171,False,20,15,True,17.5306635816892,9261,1984,1985
48,/content/drive/MyDrive/data255_revision_1/model/gated/result/real_30seeds_batch1/experiments/seed_48_results.json,0.7773499787683763,0.7792929292929293,0.6995507113395198,0.7909917081578522,0.7923193532086913,0.6888877557170007,0.7909917081578522,0.7923193532086913,0.6888877557170007,0.19266071971844767,False,20,19,False,17.726771116256714,9261,1984,1985
53,/content/drive/MyDrive/data255_revision_1/model/gated/result/real_30seeds_batch1/experiments/seed_53_results.json,0.7769711428107555,0.7800808897876643,0.7021300595614218,0.7787664646710273,0.7808704453441295,0.6877011421226686,0.7787664646710273,0.7808704453441295,0.6877011421226686,0.2034460110651194,False,20,18,False,17.435781598091125,9261,1984,1985
58,/content/drive/MyDrive/data255_revision_1/model/gated/result/real_30seeds_batch1/experiments/seed_58_results.json,0.7802128052581841,0.7839068825910931,0.6683157336327338,0.7681594009981231,0.7700101317122594,0.7209383580953844,0.7676292829108481,0.7695035460992907,0.7209383580953844,0.16705456018973464,False,20,19,False,17.51871078411738,9261,1984,1985
72,/content/drive/MyDrive/data255_revision_1/model/gated/result/real_30seeds_batch1/experiments/seed_72_results.json,0.7744339971429782,0.7780586450960566,0.7050221994999917,0.7810806915209068,0.7817079332996463,0.711820716338773,0.7803739954003961,0.7812026275896917,0.711820716338773,0.1773770332206691,False,20,18,False,17.625493184725443,9261,1984,1985
102,/content/drive/MyDrive/data255_revision_1/model/gated/result/real_30seeds_batch1/experiments/seed_102_results.json,0.781165132518539,0.7833333333333333,0.7018674688954507,0.7844221975660145,0.7863636363636364,0.6878559728783946,0.784352748512572,0.7863636363636364,0.6878559728783946,0.20256093390080554,False,20,18,False,17.470176716645557,9261,1984,1985
