metric,mean,std,min,max,median,q25,q75,cv_percent,ci_95_lower,ci_95_upper,n
Test Macro F1,0.7776412055060656,0.006778731674252239,0.7651499526277189,0.7955863117130041,0.7771906237495527,0.7739444026706702,0.7807319325367348,0.8717042803616409,0.7750667136468978,0.7802156973652334,30
Test Accuracy,0.7802366125528365,0.0065199271775089685,0.7688036345280161,0.7980817768803634,0.7794080304063532,0.7764569981480657,0.783466110268083,0.83563461040063,0.7777604119525648,0.7827128131531081,30
Best Val Macro F1,0.7799386404313092,0.008041491067665801,0.7661983261047015,0.7952280130449606,0.7810842519250745,0.7761248872116826,0.7842620978438719,1.0310415013184657,0.7768845656745356,0.7829927151880829,30
Train/Val Gap,0.18765308531336286,0.019396659775135754,0.1487300135947881,0.22874262038119764,0.18293423276302712,0.17485234707856712,0.20444693313733794,10.336445970363435,0.1802864354611776,0.19501973516554813,30
Training Time (min),24.995374547640484,23.05824879626832,16.745242400964102,95.45872234106064,17.408209085464478,17.18036391238372,17.531792550285658,92.25006311595749,16.238091228972166,33.7526578663088,30
