metric,mean,std
accuracy,0.779448368651194,0.009868931565081781
macro_precision,0.7891003397713405,0.009032009494935633
macro_recall,0.7801862087301882,0.010082893119781267
macro_f1,0.7804681741330594,0.010135863297257242
