seed,loss,accuracy,macro_precision,macro_recall,macro_f1
13,0.9827208519583394,0.7684157416750756,0.7803131733167118,0.771535022563681,0.7701419083047686
14,0.8727172474206757,0.7835519677093845,0.7895961900644114,0.7866566900306747,0.7860248174968604
16,0.747917119312118,0.7880928355196771,0.8064398040938113,0.7894757562104907,0.792451767105267
17,0.8195182511622442,0.7820383451059536,0.7899374182314809,0.7818272965982563,0.7797159870899482
45,0.82732950432149,0.7961654894046418,0.8014050400644622,0.7950759796508573,0.7963195549391192
48,0.9239101040014466,0.7901109989909183,0.7997451334735944,0.78815998902618,0.7901434831635061
53,0.9724527502396754,0.7946518668012109,0.8011299471880012,0.7945163634087826,0.7956361181466136
58,0.8506928922309644,0.7800201816347124,0.7905822018756506,0.7796043684150583,0.781139340416057
72,0.672623533082658,0.7855701311806257,0.7959138801216016,0.7826549985913124,0.7870723848969904
102,0.9834961559168626,0.7734611503531786,0.7767157534103198,0.7759917324062879,0.7722855201850333
