class,acc,precision,recall,f1
conservative,0.7007299270072993,0.7272727272727273,0.7007299270072993,0.7137546468401487
dressy,0.9185185185185185,0.9323308270676691,0.9185185185185185,0.9253731343283582
ethnic,0.8062015503875969,0.8253968253968254,0.8062015503875969,0.8156862745098039
fairy,0.8881118881118881,0.9694656488549618,0.8881118881118881,0.927007299270073
feminine,0.7355371900826446,0.7739130434782608,0.7355371900826446,0.7542372881355932
gal,0.7832167832167832,0.8115942028985508,0.7832167832167832,0.797153024911032
girlish,0.6445783132530121,0.5815217391304348,0.6445783132530121,0.6114285714285714
kireime-casual,0.5886075949367089,0.7265625,0.5886075949367089,0.6503496503496503
lolita,0.975,0.9122807017543859,0.975,0.9425981873111783
mode,0.7358490566037735,0.785234899328859,0.7358490566037735,0.7597402597402597
natural,0.7906976744186046,0.7727272727272727,0.7906976744186046,0.7816091954022989
retro,0.7716535433070866,0.6405228758169934,0.7716535433070866,0.7
rock,0.8677685950413223,0.660377358490566,0.8677685950413223,0.75
street,0.7402597402597403,0.8702290076335878,0.7402597402597403,0.8
