seed,clip_similarity_mean,n_test
13,0.31743425130844116,1970
14,0.3160247504711151,1970
16,0.3162715435028076,1970
17,0.3163604140281677,1970
45,0.3165428340435028,1970
48,0.31748583912849426,1970
53,0.31572940945625305,1970
58,0.3165293335914612,1970
72,0.3166564106941223,1970
102,0.31672945618629456,1970
112,0.31593945622444153,1970
115,0.3170103132724762,1970
120,0.3172309398651123,1970
126,0.3156098425388336,1970
141,0.3172391653060913,1970
215,0.3172449469566345,1970
217,0.3168739080429077,1970
259,0.31656214594841003,1970
280,0.3167271316051483,1970
288,0.31631413102149963,1970
303,0.3173685073852539,1970
309,0.3148142099380493,1970
328,0.3179866075515747,1970
333,0.3171156644821167,1970
347,0.31641027331352234,1970
360,0.31644874811172485,1970
367,0.31619349122047424,1970
378,0.3167791962623596,1970
380,0.31680357456207275,1970
457,0.31692156195640564,1970
