setting,ablation_name,hidden_dim,num_heads,val_f1_mean,val_f1_std,val_precision_mean,val_precision_std,val_recall_mean,val_recall_std,test_f1_mean,test_f1_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_acc_mean,test_acc_std,n_seeds
Smaller projection,proj256_h4,256,4,0.8342744459686056,0.00863082842173077,,,,,0.8313115214956834,0.005803318288366426,0.831152424515326,0.005886094947806101,0.8345188853508525,0.005229490700690203,0.831111399812025,0.006162982519004226,5
Default,default_512_h8,512,8,0.8403984641586553,0.008419887976200248,,,,,0.8334082305440678,0.008555789063229617,0.8335923776100721,0.009070863673388286,0.8356051264752626,0.007840586822302894,0.8328288285895133,0.008492414371633158,5
Larger projection,proj768_h8,768,8,0.8442954677139776,0.007838767594516708,,,,,0.8389030541335801,0.006379423896214683,0.8393533340697845,0.006664799821110895,0.8408170455403662,0.005782543755495094,0.8385869169713832,0.006439317313228865,5
Fewer heads,heads4_512,512,4,0.8410884590347377,0.008980857413579247,,,,,0.8343251031654824,0.00690992814741221,0.8342994947183575,0.007596098962028755,0.8364565902416476,0.006396793551562445,0.8339394808463216,0.0067678514883487625,5
Single-head,head1_512,512,1,0.837795697195093,0.007339062293452413,,,,,0.8337020742608093,0.006889314834578626,0.8341388771713932,0.007562110879895686,0.8357715714889749,0.006582234069469187,0.8333322974409633,0.0069549668163369945,5
