class,acc,precision,recall,f1
conservative,0.7608695652173914,0.7142857142857143,0.7608695652173914,0.7368421052631579
dressy,0.9776119402985075,0.9776119402985075,0.9776119402985075,0.9776119402985075
ethnic,0.7984496124031008,0.944954128440367,0.7984496124031008,0.865546218487395
fairy,0.9375,0.9183673469387755,0.9375,0.9278350515463918
feminine,0.768595041322314,0.775,0.768595041322314,0.7717842323651453
gal,0.8741258741258742,0.7530120481927711,0.8741258741258742,0.8090614886731392
girlish,0.6566265060240963,0.6488095238095238,0.6566265060240963,0.6526946107784432
kireime-casual,0.759493670886076,0.6703910614525139,0.759493670886076,0.712166172106825
lolita,0.9375,0.9554140127388535,0.9375,0.9463722397476341
mode,0.8427672955974843,0.8023952095808383,0.8427672955974843,0.8220858895705522
natural,0.751937984496124,0.8434782608695652,0.751937984496124,0.7950819672131147
retro,0.7401574803149606,0.8103448275862069,0.7401574803149606,0.7736625514403292
rock,0.6446280991735537,0.896551724137931,0.6446280991735537,0.75
street,0.8954248366013072,0.8058823529411765,0.8954248366013072,0.848297213622291
