seed,setting,mean_confidence,accuracy,n_samples,confidence_drop_vs_full
102,full,0.9098368923957004,0.8208879919273461,1982,0.0
102,remove_text,0.8132853303499347,0.08022199798183653,1982,0.09655156204576576
102,remove_image,0.46387306426385816,0.19475277497477295,1982,0.44596382813184227
