class,acc,precision,recall,f1
conservative,0.6884057971014492,0.7307692307692307,0.6884057971014492,0.7089552238805971
dressy,0.9328358208955224,0.946969696969697,0.9328358208955224,0.9398496240601504
ethnic,0.8604651162790697,0.7985611510791367,0.8604651162790697,0.8283582089552238
fairy,0.9440559440559441,0.9375,0.9440559440559441,0.9407665505226481
feminine,0.7603305785123967,0.7796610169491526,0.7603305785123967,0.7698744769874477
gal,0.7972027972027972,0.8028169014084507,0.7972027972027972,0.8
girlish,0.5903614457831325,0.6282051282051282,0.5903614457831325,0.6086956521739131
kireime-casual,0.7025316455696202,0.6235955056179775,0.7025316455696202,0.6607142857142857
lolita,0.91875,0.9607843137254902,0.91875,0.939297124600639
mode,0.779874213836478,0.7380952380952381,0.779874213836478,0.7584097859327217
natural,0.751937984496124,0.8508771929824561,0.751937984496124,0.7983539094650206
retro,0.7559055118110236,0.7111111111111111,0.7559055118110236,0.732824427480916
rock,0.8442622950819673,0.6776315789473685,0.8442622950819673,0.7518248175182481
street,0.6862745098039216,0.8677685950413223,0.6862745098039216,0.7664233576642335
