class,acc,precision,recall,f1
conservative,0.7318840579710145,0.7426470588235294,0.7318840579710145,0.7372262773722628
dressy,0.9407407407407408,0.9202898550724637,0.9407407407407408,0.9304029304029304
ethnic,0.8217054263565892,0.8217054263565892,0.8217054263565892,0.8217054263565892
fairy,0.958041958041958,0.9785714285714285,0.958041958041958,0.9681978798586572
feminine,0.7107438016528925,0.7678571428571429,0.7107438016528925,0.7381974248927039
gal,0.8321678321678322,0.7579617834394905,0.8321678321678322,0.7933333333333333
girlish,0.6626506024096386,0.582010582010582,0.6626506024096386,0.6197183098591549
kireime-casual,0.7215189873417721,0.6162162162162163,0.7215189873417721,0.6647230320699709
lolita,0.9748427672955975,0.9627329192546584,0.9748427672955975,0.96875
mode,0.710691823899371,0.8188405797101449,0.710691823899371,0.7609427609427609
natural,0.8294573643410853,0.7697841726618705,0.8294573643410853,0.7985074626865671
retro,0.6456692913385826,0.82,0.6456692913385826,0.7224669603524229
rock,0.7377049180327869,0.8256880733944955,0.7377049180327869,0.7792207792207793
street,0.8496732026143791,0.87248322147651,0.8496732026143791,0.8609271523178808
