seed,acc_correct_caption,acc_random_caption,accuracy_drop
13,0.8148335015136225,0.7986881937436933,0.016145307769929285
14,0.8118062563067608,0.8057517658930373,0.006054490413723523
16,0.830978809283552,0.8128153380423815,0.01816347124117046
17,0.8340060544904138,0.8153380423814329,0.018668012108980836
45,0.8198789101917255,0.8158425832492432,0.004036326942482349
48,0.8284561049445005,0.8072653884964682,0.021190716448032276
53,0.8461150353178607,0.8289606458123108,0.017154389505549927
58,0.8148335015136225,0.806760847628658,0.008072653884964587
72,0.8254288597376388,0.8042381432896064,0.021190716448032387
102,0.8269424823410696,0.8042381432896064,0.022704339051463185
112,0.8289606458123108,0.8082744702320888,0.02068617558022201
115,0.8082744702320888,0.798183652875883,0.010090817356205761
120,0.806760847628658,0.7835519677093845,0.02320887991927345
126,0.8198789101917255,0.8153380423814329,0.004540867810292615
141,0.8264379414732593,0.8107971745711403,0.01564076690211902
215,0.8269424823410696,0.8007063572149344,0.026236125126135157
217,0.8168516649848637,0.7971745711402624,0.019677093844601368
259,0.822401614530777,0.8168516649848637,0.0055499495459132575
280,0.8082744702320888,0.7976791120080726,0.010595358224016138
288,0.8168516649848637,0.8072653884964682,0.009586276488395495
303,0.8143289606458123,0.8002018163471241,0.014127144298688221
309,0.822401614530777,0.8002018163471241,0.02219979818365292
328,0.8304742684157417,0.8244197780020182,0.006054490413723523
333,0.8153380423814329,0.8133198789101918,0.0020181634712411745
347,0.8254288597376388,0.8057517658930373,0.01967709384460148
360,0.7976791120080726,0.7815338042381433,0.016145307769929285
367,0.8380423814328961,0.8203834510595358,0.017658930373360304
378,0.8259334006054491,0.8118062563067608,0.014127144298688221
380,0.8254288597376388,0.8153380423814329,0.010090817356205872
457,0.806760847628658,0.786074672048436,0.02068617558022201
