seed,n_test,i2t_recall@1,t2i_recall@1,i2t_recall@5,t2i_recall@5,i2t_recall@10,t2i_recall@10
13,1982,0.23562058526740667,0.19122098890010092,0.4979818365287588,0.40817356205852673,0.5988900100908173,0.5166498486377397
14,1982,0.25025227043390513,0.1917255297679112,0.48486377396569125,0.4011099899091826,0.6039354187689203,0.5090817356205852
16,1982,0.2462159434914228,0.21039354187689202,0.48385469223007066,0.4011099899091826,0.5978809283551968,0.5010090817356205
17,1982,0.25075681130171545,0.18869828456104945,0.4843592330978809,0.3849646821392533,0.6029263370332997,0.49848637739656915
45,1982,0.24066599394550958,0.20383451059535823,0.49697275479313824,0.40161453077699294,0.6140262361251262,0.512108980827447
48,1982,0.2532795156407669,0.20131180625630676,0.479313824419778,0.39455095862764883,0.6059535822401615,0.5141271442986882
53,1982,0.25630676084762866,0.21442986881937437,0.508577194752775,0.4177598385469223,0.6266397578203835,0.5408678102926338
58,1982,0.2658930373360242,0.21089808274470231,0.5151362260343088,0.41422805247225025,0.6261352169525731,0.5287588294651867
72,1982,0.23158425832492432,0.18062563067608475,0.4722502522704339,0.37235116044399597,0.5968718466195762,0.47325933400605447
102,1982,0.2462159434914228,0.19323915237134207,0.5010090817356205,0.39606458123107974,0.6185671039354188,0.5161453077699294
112,1982,0.2467204843592331,0.20837537840565085,0.5020181634712412,0.42078708375378404,0.6170534813319879,0.512108980827447
115,1982,0.2467204843592331,0.19727547931382441,0.5010090817356205,0.41372351160444,0.6231079717457114,0.5287588294651867
120,1982,0.25731584258324924,0.2063572149344097,0.5035317860746721,0.42785065590312815,0.6185671039354188,0.5232088799192735
126,1982,0.26437941473259335,0.2260343087790111,0.49596367305751765,0.43693239152371344,0.612008072653885,0.5237134207870837
141,1982,0.2558022199798184,0.20787083753784055,0.49596367305751765,0.40514631685166497,0.6064581231079718,0.515640766902119
215,1982,0.26084762865792127,0.19475277497477295,0.4979818365287588,0.425832492431887,0.6115035317860746,0.5327951564076691
217,1982,0.2522704339051463,0.1856710393541877,0.5110998990918264,0.3905146316851665,0.6140262361251262,0.5040363269424823
259,1982,0.2462159434914228,0.1992936427850656,0.4934409687184662,0.40010090817356203,0.5918264379414733,0.5075681130171544
280,1982,0.24318869828456105,0.19727547931382441,0.48789101917255295,0.41372351160444,0.6039354187689203,0.5126135216952573
288,1982,0.23612512613521694,0.18668012108980828,0.4989909182643794,0.39606458123107974,0.6145307769929365,0.508577194752775
303,1982,0.2401614530776993,0.2063572149344097,0.496468213925328,0.4112008072653885,0.6039354187689203,0.5211907164480323
309,1982,0.24470232088799193,0.19525731584258324,0.49848637739656915,0.40867810292633705,0.5938446014127144,0.507063572149344
328,1982,0.2537840565085772,0.20938446014127143,0.4944500504540868,0.40766902119071646,0.6210898082744702,0.513622603430878
333,1982,0.2532795156407669,0.1987891019172553,0.49697275479313824,0.39959636730575177,0.6099899091826438,0.5065590312815338
347,1982,0.22754793138244198,0.19475277497477295,0.4858728557013118,0.38647830474268413,0.5958627648839556,0.5025227043390514
360,1982,0.2477295660948537,0.1841574167507568,0.4934409687184662,0.4011099899091826,0.6014127144298688,0.5247225025227044
367,1982,0.2391523713420787,0.17911200807265387,0.49041372351160445,0.4112008072653885,0.6024217961654894,0.5075681130171544
378,1982,0.2542885973763875,0.19071644803229063,0.4899091826437941,0.3955600403632694,0.6074672048435923,0.5131180625630676
380,1982,0.24268415741675076,0.20332996972754794,0.4944500504540868,0.4253279515640767,0.6084762865792129,0.5252270433905146
457,1982,0.25176589303733604,0.2129162462159435,0.5171543895055499,0.41977800201816345,0.627648839556004,0.5247225025227044
