Seed,Best_Epoch,Early_Stopped,Best_Val_Macro_F1,Best_Val_Accuracy,Val_Loss_At_Best_Epoch,Min_Val_Loss,Test_Macro_F1,Test_Accuracy,Test_Macro_Precision,Test_Macro_Recall,Overfitting,Training_Time_Min,Trainable_Params
13,18,False,0.8367446944568465,0.8361069087241553,0.5875745684869828,0.5772583301990263,0.8302956010224795,0.8292066700353714,0.829805522573659,0.8318398089496156,False,11.539363332589467,86030222
14,18,False,0.8495337250018752,0.8490661282180717,0.553734679856608,0.5321036918509391,0.8286194534817567,0.8279515640766902,0.8291276005628194,0.8296854362501603,False,11.573011553287506,86030222
16,16,False,0.83734194081343,0.8370445344129555,0.6055187852151932,0.5660152829462483,0.8321986420532089,0.8319878910191726,0.83406029809298,0.833614499134364,False,11.576889713605246,86030222
17,16,False,0.8359022221109058,0.8356926188068756,0.6263567747608307,0.5979937834124411,0.8449647762908309,0.8428499242041435,0.8464119474830426,0.8450602541570627,False,11.574070266882579,86030222
45,19,False,0.8493294824216766,0.8476720647773279,0.5781529641920521,0.5179134924565593,0.83432703656746,0.8321536905965622,0.8374171468885072,0.8322060819374795,False,11.583092478911082,86030222
48,16,False,0.8419789581265803,0.8414941948510853,0.5447609107340535,0.534467178006326,0.8307195163233967,0.8308080808080808,0.8316096555047664,0.8325023243613109,False,11.575245773792266,86030222
53,19,False,0.8329729294720394,0.8319030792529025,0.609690478732509,0.5734473909101179,0.8307439936825028,0.8305513404147699,0.8330190709637844,0.8302167325039733,False,11.57376328309377,86030222
58,18,False,0.8317435235865215,0.8297979797979798,0.6253147543438019,0.5732556475747016,0.850937547924178,0.8503538928210314,0.8511289422390816,0.8516379356492152,False,11.585115051269531,86030222
72,15,True,0.8428065635011227,0.8409893992932862,0.5841656567588929,0.5438364599981615,0.8300388947269453,0.8290468986384266,0.8325061557361426,0.8301249005500964,False,11.558377973238628,86030222
102,18,False,0.849117376590305,0.8469696969696969,0.5551106809608398,0.5163125443843103,0.8301558237446917,0.8290468986384266,0.8311070011738396,0.8306634666203582,False,11.568828248977661,86030222
112,7,True,0.8226175919848316,0.8220424671385238,0.5389725921615478,0.5389725921615478,0.8165493988872169,0.8155241935483871,0.8181760524800745,0.8196930523086354,True,6.940206583340963,86030222
115,15,True,0.8410423013218058,0.8407482305358949,0.5590775243697628,0.5490168169621499,0.8316218896107721,0.8312278928751895,0.8319700761583514,0.8328135889782547,False,11.573325117429098,86030222
120,19,False,0.8475938241676377,0.8447927199191102,0.5657450460618542,0.543625692686727,0.8348607199544833,0.8332491157150076,0.8370311626712083,0.8339754281052513,False,11.577488199869792,86030222
126,18,False,0.8336162235894541,0.8323232323232324,0.6204509167901932,0.5899815943933302,0.8334696110460369,0.8313131313131313,0.836563094740117,0.8322146483098638,False,11.573897993564605,86030222
141,13,True,0.8312435203141723,0.8308080808080808,0.6122920503539424,0.5943318855377936,0.8382312936977403,0.8380566801619433,0.8381409609609987,0.8398221454538575,False,10.414512765407562,86030222
215,20,False,0.8395817488718494,0.839231547017189,0.6084920422684762,0.575394332408905,0.839327953556815,0.8386283408976298,0.839659172191063,0.8396045036578444,False,11.575802683830261,86030222
217,18,False,0.8411691677687275,0.8404040404040404,0.5764049113758148,0.5477357886491283,0.8356532119099584,0.834427057041898,0.8361182218257773,0.8362911109456748,False,11.574240120251973,86030222
259,19,False,0.8526130085561837,0.8505805148914689,0.5484452382210763,0.5143868432890984,0.8337734863483126,0.8323232323232324,0.834129794163635,0.83386523789011,False,11.581486022472381,86030222
280,17,False,0.8317006172090574,0.8292066700353714,0.6280565665614221,0.5891132325895371,0.8241470778877256,0.8223119636547198,0.8268909009251768,0.8231099355470769,False,11.566771300633748,86030222
288,15,True,0.8362494001851115,0.8352703385548257,0.6237152536069194,0.5850010860350824,0.8319121401790995,0.8296258847320526,0.8352627161908622,0.8314345278864433,False,11.572237984339397,86030222
303,18,False,0.8351339674631247,0.8338383838383838,0.6270699635628731,0.5691066538133929,0.8369881905700295,0.8362809499747347,0.8387278068572079,0.8364866839281621,False,11.58065486351649,86030222
309,12,True,0.8393212833336657,0.8382204246713852,0.5802120133753745,0.5472423030484107,0.8327268353730981,0.8319878910191726,0.8365792434144289,0.8317407720147086,False,9.830532097816468,86030222
328,17,False,0.8401878326898654,0.8383021728145528,0.5960650814156379,0.5254750222929062,0.8386503192142694,0.8377968671045983,0.8394527999913028,0.8405558246738982,False,11.569931288560232,86030222
333,17,False,0.8443546967754105,0.842929292929293,0.5929689955326819,0.5751248636553364,0.8249750350356815,0.8234699038947901,0.828397258829919,0.8242134165888924,False,11.583522232373555,86030222
347,19,False,0.8479360701548769,0.8453764527539162,0.5941578592023542,0.5485550251699263,0.8377611871861459,0.8367037411526794,0.838083555336727,0.838148894140195,False,11.587578805287679,86030222
360,20,False,0.8374423324467497,0.8359414437152953,0.5982038619056824,0.5786428461151738,0.8285447559657445,0.8278647147905098,0.8289797311897625,0.8287212082611722,False,11.568147357304891,86030222
367,20,False,0.8469978969646872,0.8450277637556789,0.5475474273966204,0.5198099747780831,0.8409530630907633,0.8387259858442871,0.8437608475009016,0.8400872615920444,False,11.581978909174602,86030222
378,19,False,0.8396311285279333,0.8383021728145528,0.6036685868617027,0.5639527718867025,0.8277756477231517,0.8262626262626263,0.8318592471313222,0.8253688244686892,False,11.577255622545879,86030222
380,19,False,0.8362030392795463,0.833922261484099,0.6060174357506537,0.5809612677943322,0.8377831188522659,0.8377148634984833,0.8380031147755302,0.8384957991717988,False,11.575939412911733,86030222
457,19,False,0.8369355285267848,0.8360323886639676,0.6056816116456063,0.5844797838118768,0.845332233927072,0.845532559313478,0.8457305785617443,0.846324851372078,False,11.58214574654897,86030222
