class,acc,precision,recall,f1
conservative,0.7753623188405797,0.6772151898734177,0.7753623188405797,0.722972972972973
dressy,0.9701492537313433,0.896551724137931,0.9701492537313433,0.931899641577061
ethnic,0.8062015503875969,0.9043478260869565,0.8062015503875969,0.8524590163934426
fairy,0.9440559440559441,0.9642857142857143,0.9440559440559441,0.9540636042402827
feminine,0.8677685950413223,0.7835820895522388,0.8677685950413223,0.8235294117647058
gal,0.7412587412587412,0.8907563025210085,0.7412587412587412,0.8091603053435115
girlish,0.6385542168674698,0.75177304964539,0.6385542168674698,0.6905537459283387
kireime-casual,0.6455696202531646,0.6623376623376623,0.6455696202531646,0.6538461538461539
lolita,0.975,0.968944099378882,0.975,0.9719626168224299
mode,0.8553459119496856,0.6415094339622641,0.8553459119496856,0.7331536388140162
natural,0.8217054263565892,0.7969924812030075,0.8217054263565892,0.8091603053435115
retro,0.7480314960629921,0.7786885245901639,0.7480314960629921,0.7630522088353414
rock,0.7131147540983607,0.7837837837837838,0.7131147540983607,0.7467811158798283
street,0.7973856209150327,0.8905109489051095,0.7973856209150327,0.8413793103448276
