seed,n_test,i2t_recall@1,t2i_recall@1,i2t_recall@5,t2i_recall@5,i2t_recall@10,t2i_recall@10
13,1970,0.33248730964467005,0.2,0.6263959390862944,0.4218274111675127,0.7309644670050761,0.5370558375634518
14,1970,0.34365482233502537,0.1847715736040609,0.6314720812182741,0.42538071065989846,0.7294416243654822,0.5390862944162437
16,1970,0.33756345177664976,0.19796954314720813,0.6015228426395939,0.42081218274111676,0.7065989847715736,0.5289340101522843
17,1970,0.3416243654822335,0.19796954314720813,0.6131979695431472,0.416751269035533,0.7269035532994924,0.5289340101522843
45,1970,0.3532994923857868,0.2147208121827411,0.616751269035533,0.4416243654822335,0.7238578680203046,0.5416243654822335
48,1970,0.3583756345177665,0.20609137055837565,0.6289340101522842,0.43248730964467,0.7395939086294416,0.5583756345177665
53,1970,0.3456852791878173,0.20253807106598984,0.6289340101522842,0.4101522842639594,0.7289340101522843,0.5395939086294417
58,1970,0.3517766497461929,0.1934010152284264,0.6208121827411167,0.4228426395939086,0.7370558375634517,0.5370558375634518
72,1970,0.3604060913705584,0.21269035532994923,0.6218274111675127,0.4319796954314721,0.7253807106598985,0.5426395939086295
102,1970,0.3446700507614213,0.21269035532994923,0.615736040609137,0.4152284263959391,0.7192893401015228,0.534517766497462
112,1970,0.33756345177664976,0.21116751269035533,0.5989847715736041,0.4101522842639594,0.7060913705583757,0.5238578680203045
115,1970,0.350253807106599,0.22284263959390863,0.6294416243654822,0.434010152284264,0.7248730964467005,0.5482233502538071
120,1970,0.3472081218274112,0.2065989847715736,0.6228426395939086,0.42842639593908627,0.7309644670050761,0.5370558375634518
126,1970,0.332994923857868,0.216751269035533,0.6015228426395939,0.4243654822335025,0.7091370558375635,0.5375634517766498
141,1970,0.34670050761421317,0.2065989847715736,0.617258883248731,0.42588832487309647,0.7269035532994924,0.5365482233502538
215,1970,0.34517766497461927,0.21065989847715735,0.6030456852791878,0.42233502538071066,0.7263959390862944,0.5218274111675127
217,1970,0.3522842639593909,0.20862944162436547,0.6213197969543147,0.42385786802030456,0.7284263959390863,0.5274111675126903
259,1970,0.34822335025380713,0.21776649746192894,0.6213197969543147,0.4263959390862944,0.7131979695431472,0.5355329949238579
280,1970,0.33705583756345175,0.19086294416243654,0.6137055837563452,0.41928934010152286,0.7233502538071066,0.5365482233502538
288,1970,0.32639593908629444,0.2152284263959391,0.6106598984771574,0.43147208121827413,0.7131979695431472,0.5218274111675127
303,1970,0.34517766497461927,0.19746192893401016,0.6279187817258883,0.4197969543147208,0.733502538071066,0.5365482233502538
309,1970,0.33705583756345175,0.1918781725888325,0.6111675126903553,0.4116751269035533,0.7081218274111675,0.5238578680203045
328,1970,0.3461928934010152,0.216243654822335,0.6411167512690356,0.43756345177664974,0.7426395939086294,0.5614213197969543
333,1970,0.32944162436548224,0.20913705583756345,0.6187817258883249,0.42690355329949237,0.7299492385786802,0.5350253807106599
347,1970,0.34213197969543147,0.19847715736040608,0.6243654822335025,0.4294416243654822,0.7340101522842639,0.5441624365482234
360,1970,0.3456852791878173,0.20913705583756345,0.6192893401015228,0.41928934010152286,0.7182741116751269,0.5253807106598984
367,1970,0.3380710659898477,0.19746192893401016,0.6218274111675127,0.4370558375634518,0.7187817258883249,0.5365482233502538
378,1970,0.33096446700507615,0.19898477157360406,0.6086294416243655,0.41878172588832485,0.7137055837563452,0.534517766497462
380,1970,0.3411167512690355,0.2131979695431472,0.617258883248731,0.42842639593908627,0.716243654822335,0.5314720812182742
457,1970,0.34670050761421317,0.2131979695431472,0.6284263959390863,0.4279187817258883,0.7340101522842639,0.5477157360406092
