class,acc,precision,recall,f1
conservative,0.7753623188405797,0.6993464052287581,0.7753623188405797,0.7353951890034365
dressy,0.9104477611940298,0.9682539682539683,0.9104477611940298,0.9384615384615385
ethnic,0.751937984496124,0.9603960396039604,0.751937984496124,0.8434782608695652
fairy,0.9300699300699301,0.9300699300699301,0.9300699300699301,0.9300699300699301
feminine,0.8842975206611571,0.6772151898734177,0.8842975206611571,0.7670250896057348
gal,0.7972027972027972,0.8702290076335878,0.7972027972027972,0.8321167883211679
girlish,0.608433734939759,0.6688741721854304,0.608433734939759,0.637223974763407
kireime-casual,0.6455696202531646,0.6035502958579881,0.6455696202531646,0.6238532110091743
lolita,0.975,0.9341317365269461,0.975,0.9541284403669725
mode,0.7987421383647799,0.7604790419161677,0.7987421383647799,0.7791411042944786
natural,0.6821705426356589,0.8073394495412844,0.6821705426356589,0.7394957983193278
retro,0.8346456692913385,0.762589928057554,0.8346456692913385,0.7969924812030075
rock,0.7704918032786885,0.8034188034188035,0.7704918032786885,0.7866108786610879
street,0.8496732026143791,0.8609271523178808,0.8496732026143791,0.8552631578947368
