Seed,Caption_Condition,Best_Epoch,Early_Stopped,Best_Val_Macro_F1,Test_Macro_F1,Test_Accuracy,Test_Macro_Precision,Test_Macro_Recall,Overfitting,Training_Time_Min
13,class_randomized,10,True,0.8360391162217129,0.8291983788901468,0.8292066700353714,0.8289771360610486,0.8315618657462002,False,3.4540002663930256
14,class_randomized,15,True,0.8407518425416204,0.828285623003817,0.8279515640766902,0.8280135551841962,0.8325575631690019,False,4.575827380021413
16,class_randomized,14,True,0.8270352611197443,0.8317527880820798,0.830978809283552,0.8317881261141604,0.8343049970470302,False,4.297244862715403
17,class_randomized,16,False,0.8337242346044152,0.8219721596373489,0.8216270843860536,0.8218895682432984,0.8255019818003623,False,4.600095315774282
45,class_randomized,15,True,0.8288073489785531,0.8316832932434427,0.8311425682507584,0.8341846884750739,0.8329684878265765,False,4.52345556418101
48,class_randomized,20,False,0.833640612992481,0.8183425625865162,0.8181818181818182,0.8168919491136247,0.8223307439846888,False,4.553461762269338
53,class_randomized,11,True,0.8236755555503973,0.8290874762901519,0.8285280728376327,0.8305553919826807,0.8321384134387362,False,3.6693896810213724
58,class_randomized,19,False,0.8252479026373667,0.8334642562197218,0.8341759352881699,0.8329698529471778,0.8383308831359131,False,4.603616750240326
72,class_randomized,19,False,0.8305009256523056,0.8187441239084333,0.8204740292486132,0.8186645742161287,0.8219868167012919,False,4.531826428572336
102,class_randomized,16,False,0.8472347695370473,0.8337957902462849,0.832576903681291,0.8338476807573072,0.8345227169745285,False,4.514297596613566
112,class_randomized,10,True,0.8323228298212806,0.8339001279666175,0.8326612903225806,0.8357252088726618,0.834570424030044,True,3.3831881443659464
115,class_randomized,17,False,0.8346777685696625,0.8322172067219205,0.831733198585144,0.8313716174583495,0.8338536781788912,False,4.503728473186493
120,class_randomized,13,True,0.8270594624676377,0.8271295292010593,0.8276907529055079,0.8272597395529097,0.8304483293773319,False,4.07948280175527
126,class_randomized,11,True,0.8280295431204282,0.8240805363196699,0.8242424242424242,0.8241823864409996,0.8283683449053705,False,3.634059758981069
141,class_randomized,7,True,0.8225394246488344,0.8217580400033352,0.8208502024291497,0.82477279178165,0.8202197567529307,False,2.710687446594238
215,class_randomized,8,True,0.8255822462034125,0.8222916416611954,0.8240040342914775,0.8238987368503675,0.826477564034618,False,2.9324896494547525
217,class_randomized,11,True,0.8427225282314007,0.8197417371808546,0.8187783947501261,0.8208150550279365,0.8237962947582911,False,3.6138991276423136
259,class_randomized,13,True,0.840819746119239,0.816357635685058,0.8151515151515152,0.8175813407889042,0.8181219374716667,False,4.071930142243703
280,class_randomized,18,False,0.8328867092572148,0.8150738361917508,0.8137304391721353,0.8148662138368665,0.8164565354821514,False,4.502351625760396
288,class_randomized,19,False,0.8311554273169544,0.834113084160632,0.8336703741152679,0.8347208378016122,0.8352405252510351,False,4.532971413930257
303,class_randomized,15,True,0.8378012926984291,0.8333349587753827,0.832743810005053,0.8342416742294659,0.8350255146728821,False,4.524988226095835
309,class_randomized,11,True,0.8369715736020308,0.8218098260798807,0.8218970736629667,0.8224117639890449,0.8244852402611712,False,3.6259501496950786
328,class_randomized,15,True,0.8289534332508925,0.8391495964194313,0.8398180899444164,0.8388415700581154,0.8445836666459678,False,4.500022705396017
333,class_randomized,17,False,0.8245130568127136,0.8319123568077146,0.8315629742033384,0.8322467262219844,0.8326528498716955,False,4.517146249612172
347,class_randomized,5,True,0.8170901307980735,0.8209659656613003,0.820525783619818,0.8226557039905416,0.8233204752900308,False,2.26042058467865
360,class_randomized,18,False,0.8426334076271216,0.8255913673292369,0.8258455325593135,0.8250604280749326,0.8282527145183407,False,4.53678590854009
367,class_randomized,8,True,0.8308856688706132,0.8292580947275745,0.8291203235591507,0.8302816163472755,0.832109133847007,False,2.9486325422922772
378,class_randomized,13,True,0.8318834379618159,0.8172864918201076,0.8171717171717172,0.818502838743694,0.8188427976391829,False,4.082021319866181
380,class_randomized,18,False,0.8305163243312287,0.8318765002328677,0.8321536905965622,0.8315692031504727,0.8342824137871282,False,4.579119364420573
457,class_randomized,12,True,0.8365947594179598,0.8261923789561088,0.8278647147905098,0.8295870897656025,0.8322154827287989,False,3.8624117851257322
