seed,blip_itm_mean,n_test
13,0.9178835153579712,1982
14,0.9161971807479858,1982
16,0.9183611273765564,1982
17,0.9201934933662415,1982
45,0.9202198386192322,1982
48,0.9165666103363037,1982
53,0.9232995510101318,1982
58,0.9193972945213318,1982
72,0.9150993227958679,1982
102,0.9202378392219543,1982
112,0.9203345775604248,1982
115,0.9218834042549133,1982
120,0.9211822152137756,1982
126,0.9182150959968567,1982
141,0.9174112677574158,1982
215,0.9168862104415894,1982
217,0.9233189225196838,1982
259,0.9166173338890076,1982
280,0.9207610487937927,1982
288,0.9226048588752747,1982
303,0.9203430414199829,1982
309,0.9094123840332031,1982
328,0.9177598357200623,1982
333,0.9233903884887695,1982
347,0.917107105255127,1982
360,0.9230893850326538,1982
367,0.9183050394058228,1982
378,0.922489583492279,1982
380,0.919056236743927,1982
457,0.9230009913444519,1982
