class,acc,precision,recall,f1
conservative,0.8115942028985508,0.7133757961783439,0.8115942028985508,0.7593220338983051
dressy,0.9253731343283582,0.9841269841269841,0.9253731343283582,0.9538461538461539
ethnic,0.9069767441860465,0.8796992481203008,0.9069767441860465,0.8931297709923665
fairy,0.9305555555555556,0.9115646258503401,0.9305555555555556,0.9209621993127147
feminine,0.6942148760330579,0.8076923076923077,0.6942148760330579,0.7466666666666667
gal,0.6853146853146853,0.8235294117647058,0.6853146853146853,0.7480916030534351
girlish,0.6867469879518072,0.5846153846153846,0.6867469879518072,0.631578947368421
kireime-casual,0.740506329113924,0.6610169491525424,0.740506329113924,0.6985074626865672
lolita,0.8625,0.965034965034965,0.8625,0.9108910891089109
mode,0.7421383647798742,0.7712418300653595,0.7421383647798742,0.7564102564102564
natural,0.8294573643410853,0.8770491803278688,0.8294573643410853,0.852589641434263
retro,0.6929133858267716,0.7927927927927928,0.6929133858267716,0.7394957983193278
rock,0.8099173553719008,0.7153284671532847,0.8099173553719008,0.7596899224806202
street,0.8562091503267973,0.8291139240506329,0.8562091503267973,0.842443729903537
