seed,blip_itm_mean,n_test
13,0.9597881436347961,1970
14,0.9602018594741821,1970
16,0.961539089679718,1970
17,0.962338924407959,1970
45,0.9552575945854187,1970
48,0.9617356061935425,1970
53,0.9579039216041565,1970
58,0.9643411040306091,1970
72,0.9609947800636292,1970
102,0.9583209753036499,1970
112,0.9540177583694458,1970
115,0.9597398638725281,1970
120,0.9608126878738403,1970
126,0.9599049091339111,1970
141,0.9580342173576355,1970
215,0.9597302079200745,1970
217,0.9614683985710144,1970
259,0.9562312364578247,1970
280,0.9582093358039856,1970
288,0.9579904079437256,1970
303,0.9606310129165649,1970
309,0.959121584892273,1970
328,0.961059033870697,1970
333,0.9638160467147827,1970
347,0.9601945877075195,1970
360,0.9569852948188782,1970
367,0.9600428938865662,1970
378,0.9591758847236633,1970
380,0.9549444317817688,1970
457,0.9574014544487,1970
