seed,clip_iqa_win_rate,clip_iqa_margin_mean,n_test
13,0.937941473259334,0.09421684942560649,1982
14,0.942986881937437,0.09410040947400958,1982
16,0.9192734611503531,0.09396669421228462,1982
17,0.9339051463168516,0.09434074070962478,1982
45,0.9339051463168516,0.09395597718738764,1982
48,0.9334006054490414,0.09328377938535211,1982
53,0.9313824419778002,0.09527857773810415,1982
58,0.9465186680121089,0.09517225422393662,1982
72,0.9480322906155398,0.09340020681907142,1982
102,0.9263370332996973,0.09414179741163427,1982
112,0.9450050454086781,0.09407294741582678,1982
115,0.9465186680121089,0.09435386944460701,1982
120,0.9389505549949546,0.09441417009089477,1982
126,0.9409687184661958,0.09483080808407844,1982
141,0.9359233097880928,0.09498569743724693,1982
215,0.9364278506559032,0.09461867443908957,1982
217,0.9268415741675076,0.09378139155904652,1982
259,0.9510595358224017,0.09554126004638633,1982
280,0.9349142280524723,0.09341204109273693,1982
288,0.9419778002018163,0.09327286986331526,1982
303,0.9253279515640767,0.09429514018666492,1982
309,0.9399596367305751,0.09301306251680815,1982
328,0.9450050454086781,0.09496857509332757,1982
333,0.9334006054490414,0.09462445561598336,1982
347,0.9318869828456104,0.09360255187473192,1982
360,0.941473259334006,0.0944858933643905,1982
367,0.9334006054490414,0.09299316423391599,1982
378,0.9369323915237134,0.0934523693262388,1982
380,0.9434914228052472,0.09528810117397492,1982
457,0.942986881937437,0.09467350805834251,1982
