class,acc,precision,recall,f1
conservative,0.6934306569343066,0.7480314960629921,0.6934306569343066,0.7196969696969697
dressy,0.9037037037037037,0.9838709677419355,0.9037037037037037,0.9420849420849421
ethnic,0.8837209302325582,0.8507462686567164,0.8837209302325582,0.8669201520912547
fairy,0.958041958041958,0.958041958041958,0.958041958041958,0.958041958041958
feminine,0.768595041322314,0.8378378378378378,0.768595041322314,0.8017241379310345
gal,0.8111888111888111,0.7785234899328859,0.8111888111888111,0.7945205479452054
girlish,0.6987951807228916,0.6863905325443787,0.6987951807228916,0.6925373134328359
kireime-casual,0.7531645569620253,0.6363636363636364,0.7531645569620253,0.6898550724637681
lolita,0.9748427672955975,0.9748427672955975,0.9748427672955975,0.9748427672955975
mode,0.8301886792452831,0.7810650887573964,0.8301886792452831,0.8048780487804879
natural,0.8449612403100775,0.8320610687022901,0.8449612403100775,0.8384615384615385
retro,0.7322834645669292,0.808695652173913,0.7322834645669292,0.768595041322314
rock,0.8442622950819673,0.824,0.8442622950819673,0.8340080971659919
street,0.8181818181818182,0.9064748201438849,0.8181818181818182,0.8600682593856656
