Seed,Caption_Condition,Best_Epoch,Early_Stopped,Best_Val_Macro_F1,Test_Macro_F1,Test_Accuracy,Test_Macro_Precision,Test_Macro_Recall,Overfitting,Training_Time_Min
13,real,10,True,0.8402517135931309,0.8272228878128913,0.8271854471955533,0.8279695882629957,0.8297987531743208,False,3.4452354749043783
14,real,17,False,0.8517183510426181,0.8271337266705833,0.8269424823410696,0.8269726044231241,0.8302524451527473,False,4.582274711132049
16,real,16,False,0.8342806362643246,0.8411252228422476,0.8410696266397578,0.8403346020178956,0.8444006646596928,False,4.532551860809326
17,real,13,True,0.8430250203318925,0.8232762720852068,0.8226376958059626,0.823180803405306,0.8256749555193919,False,4.137178881963094
45,real,13,True,0.8330099783848495,0.8432478658923327,0.8422649140546006,0.8451940112678261,0.8434123176003062,False,4.095018021265665
48,real,15,True,0.8347809607453655,0.8315516591708653,0.8318181818181818,0.8310576109350564,0.8354902936034334,False,4.540863935152689
53,real,15,True,0.8227809460350687,0.8317951651300441,0.8315629742033384,0.8321952227869753,0.832957930311138,False,4.597369885444641
58,real,8,True,0.8214526041468381,0.8325686979888917,0.8321536905965622,0.8340616441986298,0.8358546272769182,False,3.001417013009389
72,real,16,False,0.8374278203865816,0.8292939867148833,0.8305597579425114,0.8284745324791525,0.8313469428448507,False,4.53254146973292
102,real,10,True,0.8523739919227955,0.8304556925733902,0.8305597579425114,0.8309338756626967,0.831120509559127,False,3.417691346009572
112,real,8,True,0.8341562303369121,0.836469407156172,0.8356854838709677,0.8367595949469366,0.8373268678950312,False,2.9341816703478494
115,real,14,True,0.8440420158878036,0.8265384934171889,0.8251642243557352,0.8260611723303739,0.8280502988944776,False,4.293490187327067
120,real,10,True,0.8321296285168567,0.8256232827448791,0.8261748357756442,0.8274009068599335,0.8290849511555874,False,3.408749258518219
126,real,15,True,0.8288131044624331,0.8343227320026918,0.8338383838383838,0.8352328536262592,0.8347958218378208,False,4.5554251909255985
141,real,19,False,0.843952685098816,0.843139325054554,0.8431174089068826,0.8421934475554964,0.8450099162347754,False,4.570634682973226
215,real,9,True,0.824419629493083,0.8233806409498652,0.8240040342914775,0.8251688628997579,0.8274200132943053,False,3.168357761700948
217,real,18,False,0.8463637109253295,0.8350715100172171,0.834427057041898,0.8358610686683445,0.8386315387004234,False,4.527551194032033
259,real,13,True,0.8447811332422026,0.8205186467455288,0.8202020202020202,0.8219212080516894,0.82275859733762,False,4.07549733320872
280,real,14,True,0.8367810213589509,0.8292262791476858,0.828369510348309,0.8300160817404112,0.8294647957500244,False,4.304994710286459
288,real,17,False,0.8393040908494439,0.8463426373714891,0.845803842264914,0.8464270852348565,0.848119176822063,False,4.526633453369141
303,real,15,True,0.8428583547403259,0.8421690616045988,0.84133400707428,0.8431271016068027,0.8438807329189357,False,4.536110512415568
309,real,10,True,0.8387702761237146,0.8185575633377418,0.8198789101917255,0.8211380203570646,0.825568030203928,False,3.3911879579226176
328,real,9,True,0.830583819036893,0.8379902472863703,0.8377968671045983,0.8385781316113098,0.8412219271409388,False,3.1747416893641156
333,real,19,False,0.8381610788218264,0.8329495978941007,0.8320687910976227,0.8332690215946325,0.8345831315801971,False,4.572041924794515
347,real,16,False,0.8288437742835676,0.8449628737947655,0.8442871587462083,0.8455539749235449,0.8473968120499933,False,4.531300536791483
360,real,15,True,0.848961402953086,0.8214589490582301,0.8218071680969208,0.822694244792357,0.8253953355450598,False,4.550367220242818
367,real,14,True,0.8417830265364878,0.83919029845378,0.840242669362993,0.838232452673713,0.8417659189095843,False,4.2965083161989845
378,real,13,True,0.836643804680264,0.8230619671742946,0.8227272727272728,0.8244478055098134,0.823995914038431,False,4.0853007435798645
380,real,18,False,0.8331985257942108,0.8376551180004901,0.8377148634984833,0.8373210640167874,0.8402642809400308,False,4.537905919551849
457,real,15,True,0.8438786721908559,0.8387699537043446,0.839979808177688,0.8389289167885526,0.8437167438617477,False,4.52697567542394
