metric_group,metric,mean,std
clip_similarity,clip_similarity_mean,0.2999662846326828,0.0005238058946815
clip_iqa,clip_iqa_win_rate,0.9375378405650856,0.0072956911883601
clip_iqa,clip_iqa_margin_mean,0.0942179279168205,0.0006953979027608
blipscore,blip_itm_mean,0.9193541566530864,0.0030352483155791
retrieval_recall,i2t_recall@1,0.2480491086444668,0.0089342998710238
retrieval_recall,i2t_recall@5,0.4956609485368314,0.0097787257393743
retrieval_recall,i2t_recall@10,0.6092330978809282,0.0099073037102868
retrieval_recall,t2i_recall@1,0.1990245543222334,0.0108390076220125
retrieval_recall,t2i_recall@5,0.4063067608476285,0.0139062727618422
retrieval_recall,t2i_recall@10,0.5141944164143963,0.0124644629061548
confusion_matrix,accuracy,0.2706861755802219,0.0046839040887926
confusion_matrix,macro_f1,0.2115667680407277,0.0046594287317985
gpt4o_evaluation,gpt4o_semantic_mean,4.042880954478616,0.1224351777885125
gpt4o_evaluation,gpt4o_style_mean,3.944668165446876,0.1116938399550714
random_caption_sanity,acc_correct_caption,0.8212243525058864,0.0102172813153486
random_caption_sanity,acc_random_caption,0.8064917591658258,0.0109100149367271
random_caption_sanity,accuracy_drop,0.0147325933400604,0.0066328736841712
class_randomized_sanity,acc_correct_caption,0.8217457114026236,0.0097060427919041
class_randomized_sanity,acc_wrong_style_caption,0.8057181298351832,0.011790817707352
class_randomized_sanity,accuracy_drop,0.0160275815674402,0.0062485484774113
