seed,loss,accuracy,macro_precision,macro_recall,macro_f1
13,0.7043951328779927,0.7896064581231079,0.8028323648007073,0.7880887678632018,0.7904031515453803
14,1.0689756074238015,0.8057517658930373,0.8136627735902523,0.807107389272773,0.8074267177218875
16,0.8976245607906346,0.822401614530777,0.8290675417325302,0.8225257931278743,0.8247310604356831
17,0.9159506602677038,0.8304742684157417,0.8410009862109289,0.8317281837327635,0.8333920713442718
45,0.8094120278247791,0.798183652875883,0.8011029648787084,0.7998956243754781,0.7987080355483818
48,1.0732597663592618,0.8102926337033299,0.81626755060343,0.8105380360730203,0.8113449368718669
53,0.6836881961158499,0.8113017154389506,0.828741716223022,0.8083213042369829,0.8145621977385487
58,1.1248571185844336,0.8062563067608476,0.811718005049015,0.8053618636383447,0.8055925624807623
72,0.7471989934547879,0.8128153380423815,0.822607010805196,0.8104062790329136,0.813502977222352
102,1.1410890395417583,0.7971745711402624,0.8082987047804153,0.7981727240020298,0.8009732339629674
112,0.9304954600261992,0.8047426841574168,0.8129211352898761,0.805345311943215,0.8071533929684932
115,1.013991691420225,0.7875882946518667,0.7933372982778825,0.7889181929318883,0.7895332070769268
120,1.0480912394528432,0.7976791120080726,0.8144552883684021,0.7966072962915014,0.8024414467594335
126,0.9827876111453043,0.8203834510595358,0.828544193607998,0.819489551273569,0.8217799741269783
141,0.6843433763256708,0.8072653884964682,0.8090877709152264,0.8090404358376375,0.8073786757400679
215,0.6447163976646215,0.7941473259334006,0.8065140077739246,0.7959858021430081,0.7982972184803755
217,0.8895832201546785,0.7951564076690212,0.7987905472813652,0.7977788821478363,0.794598984888853
259,0.7336867334571123,0.8032290615539859,0.8141674744589903,0.8025998464561258,0.8059913178783338
280,0.9476423051836032,0.8007063572149344,0.8113930572097042,0.8029225597656714,0.8032674260538624
288,1.01028284331263,0.8178607467204844,0.8256567172957381,0.8181447829761025,0.8187204465674544
303,1.080392726013807,0.8072653884964682,0.817123667425921,0.8082440640977173,0.8114094302148999
309,1.2120909317951991,0.7956609485368314,0.806488921124921,0.7965389943158978,0.7984579071401621
328,1.1757439128325278,0.8032290615539859,0.8071235289470363,0.8045881281475618,0.8048736881865964
333,0.9687220920347182,0.8097880928355197,0.8232488765507292,0.8077594455835009,0.8132331169068604
347,0.6308033546934696,0.7956609485368314,0.8040563185603659,0.79482091244316,0.7974514092618581
360,0.7098530773919237,0.79313824419778,0.8108835585607868,0.7919862319226195,0.7983029086361115
367,0.8337231245940677,0.7991927346115035,0.8076300800346914,0.8010032159887418,0.801375417345969
378,1.0855792339225832,0.8002018163471241,0.8115844403392671,0.8005701587317356,0.8030153241926152
380,1.1512114395707935,0.8173562058526741,0.8283344980077955,0.8159034277490197,0.8199518428517354
457,1.286164696413862,0.7986881937436933,0.8152723502279796,0.7985812535297249,0.8021941129734982
