metric,mean,std
accuracy,0.8044399596367305,0.010194326279227
macro_precision,0.8140637782977602,0.01056430027491178
macro_recall,0.8046324819877206,0.009968780891968804
macro_f1,0.8066688064374395,0.010130147469016441
