model,category,total_errors,accuracy,macro_f1_off_diag_proxy
clip,image_only,3223,0.8373864783047427,0.8373864783047427
convnext,image_only,4614,0.767204843592331,0.767204843592331
swin,image_only,4316,0.7822401614530777,0.7822401614530777
vit,image_only,8156,0.5884964682139253,0.5884964682139253
concat_mlp,multimodal,17770,0.10343087790111,0.10343087790110994
gated_fusion,multimodal,7641,0.6144803229061554,0.6144803229061554
blip,multimodal,3125,0.8423309788092835,0.8423309788092835
vilbert,multimodal,7473,0.6229566094853684,0.6229566094853682
fashionbert,text_only,12510,0.36881937436932394,0.3688193743693239
