Condition,N,Test Macro F1 Mean,Test Macro F1 Std,Test Accuracy Mean,Test Accuracy Std,Best Val Macro F1 Mean,Best Val Macro F1 Std
class_randomized,30,0.8266789121336549,0.006328539641458384,0.8265353263782708,0.0063773732145235296,0.832076544698753,0.006679620648828913
real,30,0.8325023253932441,0.007731833539949083,0.8323792948504691,0.0075957568009049105,0.8376509336062175,0.00783672680345986
shuffled,30,0.8283597897221315,0.007113933864180795,0.8283032509889523,0.007078299734744061,0.833062707116682,0.006373041813069939
