seed,accuracy,macro_f1,n_test
13,0.2781725888324873,0.2028630654379637,1970
14,0.28578680203045687,0.21420608245932385,1970
16,0.29644670050761424,0.2240531243591167,1970
17,0.283248730964467,0.21035633437401602,1970
45,0.27766497461928935,0.2018084398979822,1970
48,0.2954314720812183,0.22073052431836412,1970
53,0.2847715736040609,0.20965188726771047,1970
58,0.2893401015228426,0.21558765135486366,1970
72,0.2751269035532995,0.2022512263234471,1970
102,0.2705583756345178,0.20267310089159185,1970
112,0.28375634517766496,0.20959103529432624,1970
115,0.28375634517766496,0.2142714272800654,1970
120,0.2847715736040609,0.20661801690415596,1970
126,0.3020304568527919,0.22784177804111147,1970
141,0.29949238578680204,0.22963211025963912,1970
215,0.2781725888324873,0.20807892054183702,1970
217,0.2802030456852792,0.20836765050334913,1970
259,0.28274111675126906,0.20693406721521737,1970
280,0.2802030456852792,0.21353723055138654,1970
288,0.3015228426395939,0.22901406138193559,1970
303,0.28527918781725886,0.21183647158062782,1970
309,0.2918781725888325,0.2166653472453536,1970
328,0.28883248730964467,0.21557812459321116,1970
333,0.2796954314720812,0.20690273799291461,1970
347,0.2802030456852792,0.20803723578916866,1970
360,0.2817258883248731,0.20951729949360895,1970
367,0.28578680203045687,0.21228847114570842,1970
378,0.27258883248730964,0.20105815078561393,1970
380,0.2883248730964467,0.21710285282072345,1970
457,0.2984771573604061,0.22648999970516964,1970
