seed,source_file,test_macro_f1,test_accuracy,test_loss,best_val_macro_f1,best_val_accuracy,best_val_loss,final_val_macro_f1,final_val_accuracy,final_val_loss,train_val_gap,overfitting_detected,total_epochs,best_epoch,early_stopped,training_time_min,train_size,val_size,test_size
13,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch1/experiments/seed_13_results.json,0.8101584636420706,81.10831234256926,0.6189356332733518,0.808630127839629,80.9475806451613,0.5707770710991275,0.808630127839629,80.9475806451613,0.5707770710991275,0.15581853126524825,False,20,20,False,98.29949218829474,9261,1984,1985
14,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch1/experiments/seed_14_results.json,0.8044546622474036,80.60453400503778,0.5836144099159847,0.8208158776244622,82.15725806451613,0.5396600716537044,0.8208158776244622,82.15725806451613,0.5396600716537044,0.1772509103754869,False,20,20,False,17.59517631530762,9261,1984,1985
16,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch1/experiments/seed_16_results.json,0.8151534214712327,81.51133501259446,0.5513379256876688,0.7982432679109454,79.83870967741936,0.6033870741244285,0.7963819886703848,79.6875,0.6033870741244285,0.13513446552668584,False,20,19,False,18.052030766010283,9261,1984,1985
17,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch1/experiments/seed_17_results.json,0.8130677743892624,81.25944584382871,0.5776182708759157,0.8072562567746272,80.79637096774194,0.5795779814643245,0.8072562567746272,80.79637096774194,0.5795779814643245,0.13877270317846724,False,20,20,False,17.60269561211268,9261,1984,1985
45,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch1/experiments/seed_45_results.json,0.8071097203484318,80.75566750629723,0.5707113577259911,0.811154608541561,81.1491935483871,0.5623879586496661,0.811154608541561,81.1491935483871,0.5623879586496661,0.1558503821309868,False,20,20,False,17.846745586395265,9261,1984,1985
48,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch1/experiments/seed_48_results.json,0.804681934021401,80.50377833753149,0.5691388088559347,0.814204020506347,81.50201612903226,0.554816565205974,0.8117210579761087,81.25,0.554816565205974,0.18441072478310283,False,20,19,False,17.451167142391206,9261,1984,1985
53,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch1/experiments/seed_53_results.json,0.8077770129486491,80.80604534005037,0.5704102615515391,0.8073188557935146,80.89717741935483,0.571304916374145,0.8073188557935146,80.89717741935483,0.571304916374145,0.14049166968720106,False,20,20,False,17.498522361119587,9261,1984,1985
58,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch1/experiments/seed_58_results.json,0.8190014466284096,81.9647355163728,0.559361457824707,0.7970874324531715,79.73790322580645,0.5926259602269819,0.7970874324531715,79.73790322580645,0.5926259602269819,0.11696620086939369,False,20,20,False,17.726054298877717,9261,1984,1985
72,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch1/experiments/seed_72_results.json,0.8125886727271713,81.360201511335,0.5868574820813679,0.8136610742679055,81.40120967741936,0.5722171899772459,0.8125627393978553,81.25,0.5722171899772459,0.1580532916462064,False,20,19,False,18.14869837363561,9261,1984,1985
102,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch1/experiments/seed_102_results.json,0.8195583204859103,81.9647355163728,0.5746355955562894,0.8132148103884125,81.3508064516129,0.5637741814697942,0.8132148103884125,81.3508064516129,0.5637741814697942,0.15984498526615087,False,20,20,False,17.829974726835886,9261,1984,1985
112,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch2/experiments/seed_112_results.json,0.816129492529086,81.61209068010075,0.5404435737753317,0.8146368161971616,81.60282258064517,0.5634465222397158,0.8146368161971616,81.60282258064517,0.5634465222397158,0.16232147836711708,False,20,20,False,83.1286553700765,9261,1984,1985
115,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch2/experiments/seed_115_results.json,0.8012282750469556,80.2015113350126,0.5754812823401557,0.8103607238074222,81.1491935483871,0.5427552730806412,0.8103607238074222,81.1491935483871,0.5427552730806412,0.1840163562898509,False,20,20,False,17.962846616903942,9261,1984,1985
120,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch2/experiments/seed_120_results.json,0.8058333760727895,80.70528967254408,0.5926572812928094,0.8127352157744084,81.19959677419355,0.5726857954455961,0.8104046727482596,80.9475806451613,0.5726857954455961,0.15611015862564614,False,20,19,False,18.058621315161385,9261,1984,1985
126,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch2/experiments/seed_126_results.json,0.8143420472478583,81.41057934508817,0.5666992586283457,0.8020754804386048,80.29233870967742,0.5889860905947224,0.7985333979396522,79.93951612903226,0.5889860905947224,0.1487460573702155,False,20,18,False,17.58642915884654,9261,1984,1985
141,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch2/experiments/seed_141_results.json,0.7960940389514534,79.74811083123426,0.6049583857021634,0.8143819462243587,81.45161290322581,0.5673165508816319,0.8092988828148787,80.9475806451613,0.5673165508816319,0.15016519998483058,False,20,19,False,17.949471783638,9261,1984,1985
215,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch2/experiments/seed_215_results.json,0.8172066026594276,81.81360201511335,0.5606570854073479,0.814642508914519,81.5524193548387,0.5684131282952524,0.814642508914519,81.5524193548387,0.5684131282952524,0.13982183668385362,False,20,20,False,17.963645100593567,9261,1984,1985
217,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch2/experiments/seed_217_results.json,0.8110800284758046,81.20906801007557,0.5618509508314586,0.8191615382819892,81.90524193548387,0.5630527883768082,0.8191615382819892,81.90524193548387,0.5630527883768082,0.15962147353024314,False,20,20,False,18.0146985411644,9261,1984,1985
259,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch2/experiments/seed_259_results.json,0.8052457772201238,80.70528967254408,0.6210983759827085,0.8259389927861118,82.61088709677419,0.54317810698863,0.8259389927861118,82.61088709677419,0.54317810698863,0.1779566695049687,False,20,20,False,18.12181463241577,9261,1984,1985
280,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch2/experiments/seed_280_results.json,0.8124004864465288,81.25944584382871,0.551940237009336,0.817002397912918,81.85483870967742,0.5770833982575324,0.817002397912918,81.85483870967742,0.5770833982575324,0.13017945576363865,False,20,20,False,17.85169154802958,9261,1984,1985
288,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch2/experiments/seed_288_results.json,0.8077167935015055,80.80604534005037,0.5654219639679742,0.8033340845865166,80.49395161290323,0.5694692178118613,0.8033340845865166,80.49395161290323,0.5694692178118613,0.1473449354442261,False,20,20,False,17.88967737754186,9261,1984,1985
303,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch3/experiments/seed_303_results.json,0.8161116416130528,81.61209068010075,0.562846250950344,0.8083671590460157,80.79637096774194,0.5620528824867741,0.8082898384277467,80.84677419354838,0.5620528824867741,0.17423464363157015,False,20,19,False,83.9268022855123,9261,1984,1985
309,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch3/experiments/seed_309_results.json,0.8092832112956483,81.05793450881612,0.5569955266657329,0.8099848853071501,81.04838709677419,0.5874122496574156,0.8088192090034819,80.84677419354838,0.5874122496574156,0.1442354569909835,False,20,19,False,17.736698639392852,9261,1984,1985
328,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch3/experiments/seed_328_results.json,0.8136147991278534,81.46095717884131,0.5519638534576173,0.822979437333713,82.25806451612904,0.5571492333565989,0.822979437333713,82.25806451612904,0.5571492333565989,0.15442650053936058,False,20,20,False,17.765984276930492,9261,1984,1985
333,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch3/experiments/seed_333_results.json,0.8060402651454902,80.65491183879094,0.5974162722390796,0.8021755651998291,80.24193548387096,0.5889476672295602,0.8021755651998291,80.24193548387096,0.5889476672295602,0.11701326082824193,False,20,20,False,17.657919172445933,9261,1984,1985
347,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch3/experiments/seed_347_results.json,0.8126004274299765,81.30982367758186,0.5767924137531765,0.812662534942689,81.25,0.5585221850102947,0.812662534942689,81.25,0.5585221850102947,0.15724455812351334,False,20,20,False,17.75973036289215,9261,1984,1985
360,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch3/experiments/seed_360_results.json,0.8050049573042904,80.60453400503778,0.5954888150805518,0.8187892557420964,81.80443548387096,0.5559421224940208,0.8150779839862915,81.45161290322581,0.5559421224940208,0.17408603048563276,False,20,19,False,17.584120766321817,9261,1984,1985
367,/content/drive/MyDrive/data255_revision_2/model/gated/result/real_30seeds_batch3/experiments/seed_367_results.json,0.8118044851445908,81.20906801007557,0.5712175951117561,0.8198499426879754,82.10685483870968,0.5499976484044906,0.8161036622488178,81.70362903225806,0.5499976484044906,0.18263376579931756,False,20,19,False,17.671713801225028,9261,1984,1985
