metric,mean,std,min,max,median,q25,q75,cv_percent,ci_95_lower,ci_95_upper,n
Test Macro F1,0.8104417866295637,0.005576958834373121,0.7960940389514534,0.8204438859577067,0.8108563646727416,0.8062524183434037,0.8141602352178571,0.6881381150849066,0.8083237156086169,0.8125598576505104,30
Test Accuracy,81.10831234256926,0.5337832025009921,79.74811083123426,82.11586901763224,81.183879093199,80.71788413098237,81.44836272040303,0.658111588176689,80.90558702824254,81.31103765689599,30
Best Val Macro F1,0.8120343569393285,0.00700421886695364,0.7970874324531715,0.8259389927861118,0.8128668585711837,0.8075809316066399,0.8164124256633182,0.8625520345411893,0.8093742273871743,0.8146944864914826,30
Train/Val Gap,0.15461567171788188,0.019782231834931815,0.11696620086939369,0.19262976584763358,0.15583445669811752,0.13998929493469048,0.17114489245600384,12.794454543409604,0.1471025856034622,0.16212875783230155,30
Training Time (min),24.887057532072063,21.303359743264732,17.451167142391206,98.29949218829474,17.87068446278572,17.6852989256382,18.027813985943794,85.60015468205108,16.796262842517205,32.97785222162692,30
