class,acc,precision,recall,f1
conservative,0.6666666666666666,0.7131782945736435,0.6666666666666666,0.6891385767790262
dressy,0.9185185185185185,0.9323308270676691,0.9185185185185185,0.9253731343283582
ethnic,0.7674418604651163,0.8181818181818182,0.7674418604651163,0.792
fairy,0.958041958041958,0.9194630872483222,0.958041958041958,0.9383561643835616
feminine,0.743801652892562,0.7142857142857143,0.743801652892562,0.728744939271255
gal,0.7132867132867133,0.864406779661017,0.7132867132867133,0.7816091954022989
girlish,0.5,0.7155172413793104,0.5,0.5886524822695035
kireime-casual,0.689873417721519,0.5956284153005464,0.689873417721519,0.6392961876832844
lolita,0.9371069182389937,0.9612903225806452,0.9371069182389937,0.9490445859872612
mode,0.9119496855345912,0.6621004566210046,0.9119496855345912,0.7671957671957672
natural,0.8217054263565892,0.6583850931677019,0.8217054263565892,0.7310344827586207
retro,0.6929133858267716,0.7586206896551724,0.6929133858267716,0.7242798353909465
rock,0.7459016393442623,0.7338709677419355,0.7459016393442623,0.7398373983739838
street,0.7777777777777778,0.9015151515151515,0.7777777777777778,0.8350877192982457
