metric,mean,std,min,max,median,q25,q75,cv_percent,ci_95_lower,ci_95_upper,n
Test Macro F1,0.850517229173512,0.007420450267628044,0.8392313864779696,0.8673322786940278,0.8493367043695952,0.8443644703638196,0.8553446168414114,0.8724632509606947,0.8476990192600071,0.8533354390870169,30
Test Accuracy,84.98352365668964,0.7254833788240446,83.85469223007064,86.68683812405446,84.83316481294236,84.39037571120417,85.56088933804952,0.8536753332973112,84.70799260715152,85.25905470622776,30
Test Macro Precision,0.8523073421510515,0.008151895519083569,0.8373044891145601,0.8698337818621356,0.8531187507592044,0.8454925135636167,0.8580001644498287,0.9564502282134321,0.8492113369307266,0.8554033473713765,30
Test Macro Recall,0.8508218240456787,0.006860266535393484,0.841639240930891,0.865772616932442,0.8491602353654208,0.8455932338387006,0.8558463880027121,0.8063105977668448,0.848216366093393,0.8534272819979645,30
Best Val Macro F1,0.8560775658063781,0.006337249541402713,0.8402867868485554,0.8688781553820786,0.8567944893560547,0.8520450279998687,0.8602158044153431,0.74026581171221,0.8536707442742874,0.8584843873384688,30
Best Val Accuracy,85.51244393169996,0.6368471942795033,83.89702170620899,86.77435638566381,85.47610285579538,85.10421169972167,85.95050529295615,0.7447421275763824,85.27057598412594,85.75431187927398,30
Val Loss At Best Epoch,0.6485509041654225,0.09244320681664316,0.4900090404816212,0.8188177394049783,0.6362370804793411,0.5762657672317038,0.7239973549055116,14.253808948983309,0.6134419346971682,0.6836598736336768,30
Min Val Loss,0.4871198310366561,0.01889646583456116,0.4508804415743197,0.5257870282136625,0.4887627857707201,0.4727022056017191,0.4984853729124992,3.8792232692204207,0.47994314964610885,0.4942965124272034,30
Training Time (min),2.5082970274819263,0.5330533971756476,1.536483112970988,3.4423317233721415,2.5190722763538362,2.0488254388173424,2.874293175339699,21.251605824003175,2.3058488856351245,2.710745169328728,30
