Seed,Best_Epoch,Early_Stopped,Best_Val_Macro_F1,Best_Val_Accuracy,Val_Loss_At_Best_Epoch,Min_Val_Loss,Test_Macro_F1,Test_Accuracy,Test_Macro_Precision,Test_Macro_Recall,Overfitting,Training_Time_Min,Trainable_Params
13,7,True,0.8641769630481492,86.43469490670701,0.5577779385832048,0.4726649820804596,0.8564586192028225,85.59878726629611,0.8568983136365832,0.8585148992676562,True,2.026170631249746,14736526
14,12,True,0.8688781553820786,86.77435638566381,0.6465603707718753,0.4546525490380103,0.844757716593244,84.46014127144299,0.8464730321068179,0.8459181424159036,True,2.873862087726593,14736526
16,13,True,0.8469872231330274,84.61538461538461,0.8143942483490513,0.5257870282136625,0.8392313864779696,83.85469223007064,0.8373044891145601,0.8422325508101683,True,3.01921888589859,14736526
17,6,True,0.8520149467025485,85.28816986855409,0.5638706894411195,0.4854632166604842,0.8422166854819937,84.3355229914098,0.8427753823283971,0.8455919062819992,True,1.863180657227834,14736526
45,10,True,0.8683999632280867,86.74089068825911,0.6287695925322271,0.4508804415743197,0.8514874772151421,84.88372093023256,0.8551041382785712,0.8490539676950286,True,2.5274848620096844,14736526
48,12,True,0.8609724508680341,85.96668349318526,0.6669055744404754,0.4694639598169634,0.8603068264082274,85.95959595959596,0.8613017332042653,0.8602721724849041,True,2.8641004006067914,14736526
53,6,True,0.8402867868485554,83.89702170620899,0.5705953064945436,0.5243524022160038,0.8581260987229156,85.68538189175518,0.862317495400881,0.8562954778264763,True,1.864215644200643,14736526
58,10,True,0.8516476824802536,85.05050505050505,0.6477824456749424,0.4827018024459962,0.8620550478300577,86.14762386248736,0.8619084599944496,0.8630614450681868,True,2.533939508597056,14736526
72,8,True,0.849684186608757,84.90661282180717,0.618075666047873,0.493872212546487,0.8420417189012184,84.36712052445789,0.8427201796987418,0.8435862439043935,True,2.203088331222534,14736526
102,16,False,0.863029640220803,86.16161616161617,0.7508918857201934,0.4584289289289905,0.8673322786940278,86.68683812405446,0.8698337818621356,0.865772616932442,False,3.3905357162157697,14736526
112,13,True,0.8565642751972752,85.43983822042468,0.7637350923351703,0.47686936694287485,0.863263635300978,86.2399193548387,0.863919609149968,0.8638701077388087,True,3.073876670996348,14736526
115,4,True,0.8498375016323182,85.08594539939332,0.4900090404816212,0.4900090404816212,0.840045117987442,84.08287013643255,0.8384310391191938,0.8447513220145274,True,1.536483112970988,14736526
120,17,False,0.8570247035148343,85.54095045500506,0.7681021633888444,0.4806763534584353,0.8442333882873448,84.3355229914098,0.8442391268190024,0.8455972165088046,False,3.4180988669395447,14736526
126,18,False,0.8552469583861668,85.35353535353535,0.8188177394049783,0.5173585960461248,0.8486091837879862,84.64646464646465,0.8508907153489338,0.8479261434041526,False,3.4423317233721415,14736526
141,7,True,0.8547739571894871,85.35353535353535,0.6014992431887696,0.5052904412150383,0.8520825853068998,85.17206477732793,0.8580824406760713,0.8502311453034302,True,2.0586079557736716,14736526
215,10,True,0.8605007527301796,85.99595551061678,0.6680521016279536,0.4957125024689782,0.855172412961698,85.37569339384771,0.8576574005913643,0.8544991185314192,True,2.578007396062215,14736526
217,7,True,0.8622822416497361,86.11111111111111,0.5373619927033302,0.4728138761654977,0.8535444675287923,85.15901060070671,0.8570419971413497,0.8523573484733208,True,2.045564599831899,14736526
259,9,True,0.8593609594708335,85.86572438162544,0.5932771494431842,0.497351999004041,0.8461477814191409,84.54545454545455,0.8458144209572469,0.8479574093883683,True,2.373081835110982,14736526
