seed,acc_correct_caption,acc_random_caption,accuracy_drop
13,0.817258883248731,0.7568527918781726,0.06040609137055841
14,0.833502538071066,0.783248730964467,0.05025380710659899
16,0.8238578680203046,0.7720812182741117,0.05177664974619289
17,0.8380710659898477,0.7817258883248731,0.0563451776649746
45,0.8233502538071066,0.767005076142132,0.0563451776649746
48,0.8365482233502538,0.7644670050761422,0.07208121827411162
53,0.8233502538071066,0.7715736040609137,0.05177664974619289
58,0.8248730964467005,0.750253807106599,0.07461928934010154
72,0.8319796954314721,0.7949238578680203,0.037055837563451766
102,0.8233502538071066,0.7766497461928934,0.04670050761421318
112,0.8324873096446701,0.7725888324873097,0.05989847715736041
115,0.8451776649746193,0.7934010152284264,0.05177664974619289
120,0.8299492385786802,0.76751269035533,0.06243654822335021
126,0.8294416243654822,0.76751269035533,0.0619289340101522
141,0.8208121827411168,0.7680203045685279,0.0527918781725889
215,0.8395939086294416,0.7715736040609137,0.06802030456852792
217,0.8228426395939086,0.767005076142132,0.055837563451776595
259,0.8243654822335026,0.7822335025380711,0.042131979695431476
280,0.8289340101522843,0.7812182741116751,0.04771573604060919
288,0.8269035532994924,0.7725888324873097,0.05431472081218269
303,0.8380710659898477,0.7883248730964467,0.04974619289340099
309,0.8294416243654822,0.7751269035532995,0.05431472081218269
328,0.8380710659898477,0.7949238578680203,0.043147208121827374
333,0.8071065989847716,0.7543147208121828,0.05279187817258879
347,0.8218274111675127,0.76751269035533,0.05431472081218269
360,0.8243654822335026,0.7791878172588832,0.04517766497461939
367,0.8360406091370558,0.7888324873096447,0.047208121827411076
378,0.8395939086294416,0.7842639593908629,0.0553299492385787
380,0.8203045685279188,0.749238578680203,0.07106598984771573
457,0.8192893401015229,0.7639593908629442,0.0553299492385787
