class,acc,precision,recall,f1
conservative,0.717391304347826,0.6305732484076433,0.717391304347826,0.6711864406779661
dressy,0.917910447761194,0.8978102189781022,0.917910447761194,0.9077490774907749
ethnic,0.8217054263565892,0.8346456692913385,0.8217054263565892,0.828125
fairy,0.958041958041958,0.9256756756756757,0.958041958041958,0.9415807560137457
feminine,0.7933884297520661,0.6620689655172414,0.7933884297520661,0.7218045112781954
gal,0.8461538461538461,0.711764705882353,0.8461538461538461,0.7731629392971247
girlish,0.5180722891566265,0.6515151515151515,0.5180722891566265,0.5771812080536913
kireime-casual,0.6582278481012658,0.6265060240963856,0.6582278481012658,0.6419753086419753
lolita,0.96875,0.9171597633136095,0.96875,0.9422492401215805
mode,0.7610062893081762,0.8175675675675675,0.7610062893081762,0.7882736156351792
natural,0.7054263565891473,0.8425925925925926,0.7054263565891473,0.7679324894514767
retro,0.6850393700787402,0.7631578947368421,0.6850393700787402,0.7219917012448133
rock,0.7540983606557377,0.7479674796747967,0.7540983606557377,0.7510204081632653
street,0.7581699346405228,0.8405797101449275,0.7581699346405228,0.7972508591065293
