seed,acc_correct_caption,acc_wrong_style_caption,accuracy_drop
13,0.8249243188698284,0.798183652875883,0.026740665993945423
14,0.8173562058526741,0.8042381432896064,0.01311806256306769
16,0.8425832492431887,0.8299697275479314,0.012613521695257313
17,0.8324924318869829,0.8128153380423815,0.019677093844601368
45,0.8335015136226034,0.8118062563067608,0.021695257315842542
48,0.8178607467204844,0.7976791120080726,0.020181634712411745
53,0.8314833501513622,0.8193743693239153,0.012108980827446936
58,0.8158425832492432,0.8042381432896064,0.011604439959636781
72,0.8279515640766902,0.8168516649848637,0.011099899091826515
102,0.8188698284561049,0.8062563067608476,0.012613521695257313
112,0.8254288597376388,0.8042381432896064,0.021190716448032387
115,0.8329969727547931,0.8092835519677094,0.023713420787083717
120,0.8264379414732593,0.8244197780020182,0.0020181634712411745
126,0.8178607467204844,0.8042381432896064,0.013622603430877955
141,0.8113017154389506,0.7991927346115035,0.012108980827447047
215,0.8178607467204844,0.8062563067608476,0.011604439959636781
217,0.829465186680121,0.8057517658930373,0.023713420787083717
259,0.8148335015136225,0.798183652875883,0.01664984863773955
280,0.8163471241170535,0.8002018163471241,0.016145307769929396
288,0.8168516649848637,0.8082744702320888,0.008577194752774964
303,0.8254288597376388,0.8188698284561049,0.0065590312815339
309,0.8173562058526741,0.7926337033299697,0.02472250252270436
328,0.8319878910191726,0.8259334006054491,0.006054490413723523
333,0.8032290615539859,0.7800201816347124,0.02320887991927345
347,0.829465186680121,0.8087790110998991,0.0206861755802219
360,0.79313824419778,0.7734611503531786,0.019677093844601368
367,0.8229061553985872,0.8087790110998991,0.01412714429868811
378,0.8239152371342079,0.8002018163471241,0.023713420787083828
380,0.8123107971745711,0.801715438950555,0.010595358224016138
457,0.8203834510595358,0.7996972754793138,0.02068617558022201
