class,acc,precision,recall,f1
conservative,0.7753623188405797,0.6993464052287581,0.7753623188405797,0.7353951890034365
dressy,0.9555555555555556,0.9699248120300752,0.9555555555555556,0.9626865671641791
ethnic,0.8217054263565892,0.8833333333333333,0.8217054263565892,0.8514056224899599
fairy,0.8951048951048951,0.9343065693430657,0.8951048951048951,0.9142857142857143
feminine,0.71900826446281,0.6744186046511628,0.71900826446281,0.696
gal,0.7202797202797203,0.8306451612903226,0.7202797202797203,0.7715355805243446
girlish,0.6445783132530121,0.6045197740112994,0.6445783132530121,0.6239067055393586
kireime-casual,0.6645569620253164,0.5932203389830508,0.6645569620253164,0.6268656716417911
lolita,0.9622641509433962,0.95625,0.9622641509433962,0.9592476489028213
mode,0.8176100628930818,0.7831325301204819,0.8176100628930818,0.8
natural,0.8372093023255814,0.7105263157894737,0.8372093023255814,0.7686832740213523
retro,0.6850393700787402,0.8285714285714286,0.6850393700787402,0.75
rock,0.7851239669421488,0.7723577235772358,0.7851239669421488,0.7786885245901639
street,0.7402597402597403,0.9047619047619048,0.7402597402597403,0.8142857142857143
