seed,clip_iqa_win_rate,clip_iqa_margin_mean,n_test
13,0.9639593908629441,0.09145926301400674,1970
14,0.9593908629441624,0.09048815256901804,1970
16,0.9741116751269036,0.0913373704942955,1970
17,0.9685279187817258,0.09054814808562323,1970
45,0.9614213197969543,0.09120575483831657,1970
48,0.9619289340101523,0.09180828663449601,1970
53,0.9553299492385787,0.09128905586936147,1970
58,0.9568527918781726,0.09072126336963043,1970
72,0.9725888324873097,0.09190157667785731,1970
102,0.9695431472081218,0.09121573081778996,1970
112,0.9553299492385787,0.09068763499635125,1970
115,0.9629441624365482,0.09164098945971068,1970
120,0.9629441624365482,0.09159036198545834,1970
126,0.9604060913705583,0.08895029903668437,1970
141,0.9619289340101523,0.0922853762047545,1970
215,0.965989847715736,0.09263547675561179,1970
217,0.9593908629441624,0.09143226133839127,1970
259,0.9593908629441624,0.0908254240975162,1970
280,0.9695431472081218,0.09173502769264473,1970
288,0.965989847715736,0.09042293731936343,1970
303,0.9619289340101523,0.09152572513534332,1970
309,0.9558375634517766,0.09025799601059879,1970
328,0.966497461928934,0.09214131633188519,1970
333,0.965482233502538,0.09072290218723607,1970
347,0.9598984771573604,0.09094212752610899,1970
360,0.9568527918781726,0.09117930753884582,1970
367,0.9593908629441624,0.08974589946003735,1970
378,0.9588832487309644,0.09131621703278595,1970
380,0.9532994923857868,0.09036176004990708,1970
457,0.966497461928934,0.09147871550418399,1970
