class,acc,precision,recall,f1
conservative,0.6521739130434783,0.75,0.6521739130434783,0.6976744186046512
dressy,0.9253731343283582,0.9763779527559056,0.9253731343283582,0.9501915708812261
ethnic,0.8062015503875969,0.9122807017543859,0.8062015503875969,0.8559670781893004
fairy,0.9375,0.9246575342465754,0.9375,0.9310344827586207
feminine,0.7520661157024794,0.7982456140350878,0.7520661157024794,0.774468085106383
gal,0.7902097902097902,0.8071428571428572,0.7902097902097902,0.7985865724381626
girlish,0.7048192771084337,0.5294117647058824,0.7048192771084337,0.6046511627906976
kireime-casual,0.7151898734177216,0.6494252873563219,0.7151898734177216,0.6807228915662651
lolita,0.949685534591195,0.94375,0.949685534591195,0.9467084639498433
mode,0.7295597484276729,0.8345323741007195,0.7295597484276729,0.7785234899328859
natural,0.7674418604651163,0.8918918918918919,0.7674418604651163,0.825
retro,0.7637795275590551,0.8151260504201681,0.7637795275590551,0.7886178861788617
rock,0.7049180327868853,0.8037383177570093,0.7049180327868853,0.7510917030567685
street,0.8888888888888888,0.7157894736842105,0.8888888888888888,0.793002915451895
