seed,acc_correct_caption,acc_wrong_style_caption,accuracy_drop
13,0.8197969543147208,0.7532994923857868,0.06649746192893402
14,0.8238578680203046,0.7700507614213198,0.0538071065989848
16,0.8289340101522843,0.7619289340101523,0.06700507614213203
17,0.8238578680203046,0.7477157360406091,0.07614213197969544
45,0.8253807106598985,0.7842639593908629,0.04111675126903558
48,0.8248730964467005,0.7532994923857868,0.07157360406091373
53,0.8289340101522843,0.7685279187817259,0.06040609137055841
58,0.8233502538071066,0.7543147208121828,0.06903553299492382
72,0.816751269035533,0.7588832487309645,0.0578680203045685
102,0.8035532994923857,0.750761421319797,0.05279187817258879
112,0.8304568527918782,0.7690355329949239,0.06142131979695431
115,0.8461928934010152,0.7913705583756345,0.0548223350253807
120,0.8309644670050761,0.7629441624365483,0.06802030456852781
126,0.8274111675126904,0.7644670050761422,0.06294416243654821
141,0.8147208121827412,0.7558375634517767,0.05888324873096451
215,0.8416243654822335,0.7604060913705584,0.08121827411167515
217,0.8152284263959391,0.7604060913705584,0.0548223350253807
259,0.8284263959390863,0.767005076142132,0.06142131979695431
280,0.8385786802030457,0.7862944162436548,0.0522842639593909
288,0.8299492385786802,0.7913705583756345,0.03857868020304567
303,0.832994923857868,0.7908629441624365,0.042131979695431476
309,0.8431472081218274,0.7883248730964467,0.0548223350253807
328,0.8299492385786802,0.7741116751269036,0.055837563451776595
333,0.8284263959390863,0.7771573604060914,0.05126903553299489
347,0.8319796954314721,0.7654822335025381,0.06649746192893402
360,0.8203045685279188,0.7725888324873097,0.04771573604060908
367,0.8380710659898477,0.783248730964467,0.0548223350253807
378,0.8121827411167513,0.76751269035533,0.044670050761421276
380,0.8324873096446701,0.782741116751269,0.0497461928934011
457,0.8208121827411168,0.7431472081218274,0.07766497461928934
